"","organisation_name.x","organisation_id.x","organisation_abbr.x","organisation_name.y","organisation_id.y","organisation_abbr.y"
"2","Naturalis Biodiversity Center",2094,"Naturalis","National Science Foundation",2071,"NSF"
"3","Naturalis Biodiversity Center",2094,"Naturalis","Cyberinfrastructure for Phylogenetic Research",628,"CFPR"
"4","Naturalis Biodiversity Center",2094,"Naturalis","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN"
"5","Naturalis Biodiversity Center",2094,"Naturalis","Plazi",3378,"Plazi"
"6","Naturalis Biodiversity Center",2094,"Naturalis","Pensoft Publishers",2305,"Pensoft"
"8","Naturalis Biodiversity Center",2094,"Naturalis","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000"
"9","Naturalis Biodiversity Center",2094,"Naturalis","University of Tartu, Estonia",3132,"TU"
"10","Naturalis Biodiversity Center",2094,"Naturalis","Global Biodiversity Information Facility",1166,"GBIF"
"11","Naturalis Biodiversity Center",2094,"Naturalis","LifeWatch ERIC",1717,"LE"
"12","Naturalis Biodiversity Center",2094,"Naturalis","Consortium of European Taxonomic Facilities",3380,"COETF"
"13","Naturalis Biodiversity Center",2094,"Naturalis","Meise Botanic Garden",3379,"MBG"
"14","Naturalis Biodiversity Center",2094,"Naturalis","Botanic Garden and Botanical Museum Berlin-Dahlem",302,"BGABMBD"
"15","Naturalis Biodiversity Center",2094,"Naturalis","Swiss Institute of Bioinformatics",2682,"SIOB"
"16","Naturalis Biodiversity Center",2094,"Naturalis","European Bioinformatics Institute, Wellcome Genome Campus",908,"EBIWGC"
"17","Naturalis Biodiversity Center",2094,"Naturalis","Stichting TDWG Europe",3385,"TDWG"
"18","Naturalis Biodiversity Center",2094,"Naturalis","European Union (EU)",960,"EU"
