"","organisation_name.x","organisation_id.x","organisation_abbr.x","organisation_name.y","organisation_id.y","organisation_abbr.y"
"2","University of Tartu, Estonia",3132,"TU","University of Tartu Natural History Museum",3502,"UOTNHM"
"3","University of Tartu, Estonia",3132,"TU","Estonian Museum of Natural History",3504,"EMONH"
"4","University of Tartu, Estonia",3132,"TU","EU BON",3503,"EB"
"5","University of Tartu, Estonia",3132,"TU","DataCite",647,"D"
"7","University of Tartu, Estonia",3132,"TU","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN"
"8","University of Tartu, Estonia",3132,"TU","Plazi",3378,"Plazi"
"9","University of Tartu, Estonia",3132,"TU","Pensoft Publishers",2305,"Pensoft"
"10","University of Tartu, Estonia",3132,"TU","Naturalis Biodiversity Center",2094,"Naturalis"
"11","University of Tartu, Estonia",3132,"TU","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000"
"13","University of Tartu, Estonia",3132,"TU","Global Biodiversity Information Facility",1166,"GBIF"
"14","University of Tartu, Estonia",3132,"TU","LifeWatch ERIC",1717,"LE"
"15","University of Tartu, Estonia",3132,"TU","Consortium of European Taxonomic Facilities",3380,"COETF"
"16","University of Tartu, Estonia",3132,"TU","Meise Botanic Garden",3379,"MBG"
"17","University of Tartu, Estonia",3132,"TU","Botanic Garden and Botanical Museum Berlin-Dahlem",302,"BGABMBD"
"18","University of Tartu, Estonia",3132,"TU","Swiss Institute of Bioinformatics",2682,"SIOB"
"19","University of Tartu, Estonia",3132,"TU","European Bioinformatics Institute, Wellcome Genome Campus",908,"EBIWGC"
"20","University of Tartu, Estonia",3132,"TU","Stichting TDWG Europe",3385,"TDWG"
