"","organisation_name.x","organisation_id.x","organisation_abbr.x","organisation_name.y","organisation_id.y","organisation_abbr.y"
"1","Meise Botanic Garden",3379,"MBG","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN"
"2","Meise Botanic Garden",3379,"MBG","Plazi",3378,"Plazi"
"3","Meise Botanic Garden",3379,"MBG","Pensoft Publishers",2305,"Pensoft"
"4","Meise Botanic Garden",3379,"MBG","Naturalis Biodiversity Center",2094,"Naturalis"
"5","Meise Botanic Garden",3379,"MBG","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000"
"6","Meise Botanic Garden",3379,"MBG","University of Tartu, Estonia",3132,"TU"
"7","Meise Botanic Garden",3379,"MBG","Global Biodiversity Information Facility",1166,"GBIF"
"8","Meise Botanic Garden",3379,"MBG","LifeWatch ERIC",1717,"LE"
"9","Meise Botanic Garden",3379,"MBG","Consortium of European Taxonomic Facilities",3380,"COETF"
"11","Meise Botanic Garden",3379,"MBG","Botanic Garden and Botanical Museum Berlin-Dahlem",302,"BGABMBD"
"12","Meise Botanic Garden",3379,"MBG","Swiss Institute of Bioinformatics",2682,"SIOB"
"13","Meise Botanic Garden",3379,"MBG","European Bioinformatics Institute, Wellcome Genome Campus",908,"EBIWGC"
"14","Meise Botanic Garden",3379,"MBG","Stichting TDWG Europe",3385,"TDWG"
"15","Meise Botanic Garden",3379,"MBG","Vlaanderen is innovatie",3467,"VII"
